Name,URL,Author,Price,Number of ratings,Average Rating
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Mathematics,https://www.amazon.com/Chapterwise-Topicwise-Solved-2017-1979-Mathematics/dp/9311128767?_encoding=UTF8&psc=1,Amit M Agarwal,,76,4.3 out of 5 stars
39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry,https://www.amazon.com/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1,Ranjeet Shahi,,75,3.9 out of 5 stars
To Kill a Mockingbird,https://www.amazon.com/Kill-Mockingbird-Harper-Lee/dp/0099549484?_encoding=UTF8&psc=1,Harper Lee,,1049,4.3 out of 5 stars
How to Prepare for Quantitative Aptitude for the CAT,https://www.amazon.com/How-Prepare-Quantitative-Aptitude-CAT/dp/9352602242?_encoding=UTF8&psc=1,Arun Sharma,,231,4.2 out of 5 stars
Trueman's UGC NET/SET General Paper I,https://www.amazon.com/Truemans-UGC-NET-General-Paper/dp/8189301225?_encoding=UTF8&psc=1,M. Gagan,,297,4.2 out of 5 stars
Beehive  for Class - 9 - 959,https://www.amazon.com/Beehive-for-Class-9-959/dp/8174505024?_encoding=UTF8&psc=1,Paperback,,1,4.0 out of 5 stars
Objective General English,https://www.amazon.com/Objective-General-English-S-P-Bakshi/dp/9351768449?_encoding=UTF8&psc=1,S.P. Bakshi,,1416,4.2 out of 5 stars
Life is What You Make It,https://www.amazon.com/Life-What-Make-Preeti-Shenoy/dp/9380349300?_encoding=UTF8&psc=1,Preeti Shenoy,,2563,3.9 out of 5 stars
History of Modern India,https://www.amazon.com/History-Modern-India-Bipan-Chandra/dp/8125036849?_encoding=UTF8&psc=1,Bipan Chandra,,602,4.0 out of 5 stars
Quantitative Aptitude for Competitive Examinations (Old Edition),https://www.amazon.com/Quantitative-Aptitude-Competitive-Examinations-Old/dp/8121924987?_encoding=UTF8&psc=1,R.S. Aggarwal,,1925,3.8 out of 5 stars
Mathematics Textbook for Class - 10  - 1062,https://www.amazon.com/Mathematics-Textbook-Class-10-1062/dp/8174506349?_encoding=UTF8&psc=1,NCERT,,33,3.8 out of 5 stars
CBSE UGC NET/SET/JRF - Paper 1: Teaching and Research Aptitude,https://www.amazon.com/CBSE-UGC-NET-SET-JRF/dp/9332551731?_encoding=UTF8&psc=1,KVS Madaan,,177,4.3 out of 5 stars
Pralay: The Great Deluge (Harappa),https://www.amazon.com/Pralay-Deluge-Harappa-Vineet-Bajpai/dp/8193642406?_encoding=UTF8&psc=1,Vineet Bajpai,,164,4.2 out of 5 stars
Concepts of Physics 1,https://www.amazon.com/Concepts-Physics-1-H-C-Verma/dp/8177091875?_encoding=UTF8&psc=1,H.C. Verma,,640,4.6 out of 5 stars
Handbook of Physics,https://www.amazon.com/Handbook-Physics-Nipendra-Bhatnagar/dp/9352036034?_encoding=UTF8&psc=1,Nipendra Bhatnagar,,293,4.4 out of 5 stars
Peppa Pig: Fairy Tale Little Library,https://www.amazon.com/Peppa-Pig-Fairy-Little-Library/dp/1409306178?_encoding=UTF8&psc=1,Lauren Holowaty,,214,3.9 out of 5 stars
Who Will Cry When You Die?,https://www.amazon.com/Who-Will-Cry-When-You/dp/8179922324?_encoding=UTF8&psc=1,Robin Sharma,,2427,4.4 out of 5 stars
An Era of Darkness: The British Empire in India,https://www.amazon.com/Era-Darkness-British-Empire-India/dp/938306465X?_encoding=UTF8&psc=1,Shashi Tharoor,,326,4.5 out of 5 stars
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",https://www.amazon.com/Thinking-Fast-Penguin-Press-Non-Fiction/dp/0141033576?_encoding=UTF8&psc=1,Daniel Kahneman,,456,4.5 out of 5 stars
